ID,Age,Height,Weight,Position,PreferredFoot,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating,Finishing_Power,Offensive_IQ,Physical_Potential,On_the_Ball,Clutch_Score,Prospect_Index,Prospect_Prob
TEST_1066,16,175,70,ST,Right,Medium,Medium,4.7826,6.1842,3.3824,5.4545,1.0526,1.1475,4.3182,7.1429,6.8182,5.5422,6.3218,6.7391,4.8276,3.8889,3.4524,6.1798,6.506,4.878,6.9737,5.1562,6.9333,5.9211,4.3836,4.8148,0.9859,5.5172,1.8824,1.4773,5.7447,4.6429,6.7442,4.3373,1.9101,1.2644,1.7857,0.4545,0.9091,0.6593,0.5618,1.3636,5.8904,5.9211,5.9211,5.9211,5.9211,5.9211,5.7333,5.5405,4.6575,5.5405,3.8028,2.8571,3.8028,3.5714,2.2222,3.5714,0.875,6.65418,5.181266666666667,3.765575,6.706475,5.801100000000001,7.612236406647059,0.83252186
TEST_1224,16,186,72,ST,Left,High,Low,6.9565,4.8684,2.9412,4.5455,0.7895,3.2787,4.4318,5.7143,4.7727,5.5422,3.6782,5.7609,6.3218,2.5556,3.4524,5.7303,7.3494,7.561,7.3684,3.4375,5.6,5.5263,4.5205,4.9383,3.9437,4.9425,2.9412,1.9318,4.5745,2.619,5.6977,4.6988,2.0225,1.1494,0.7143,0.6818,1.25,0.989,0.5618,1.3636,5.2055,5.3947,5.1316,5.1316,5.1316,5.3947,4.9333,5.1351,3.9726,5.1351,3.662,2.7143,3.662,3.4286,2.3611,3.4286,0.875,5.6391,3.5436666666666667,5.240875,6.1149000000000004,4.691566666666667,5.668113968545752,0.81700754
TEST_1533,17,181,60,ST,Right,Medium,Medium,5.5072,5.7895,2.9412,4.8485,0.7895,1.8033,3.75,6.3736,5.6818,4.5783,5.1724,5.9783,4.9425,3.7778,2.9762,6.1798,6.6265,5.8537,5.3947,3.9062,8.1333,5.6579,5.6164,4.9383,1.2676,6.092,2.9412,1.5909,5.1064,5.119,8.2558,5.0602,1.7978,0.9195,1.3095,1.0227,0.9091,0.6593,0.6742,1.25,5.3425,5.5263,5.5263,5.5263,5.5263,5.5263,5.3333,5.1351,4.3836,5.1351,3.3803,2.5714,3.3803,3.1429,2.0833,3.1429,0.875,6.08732,4.710533333333333,4.419,6.421525000000001,6.1628,7.40849988848148,0.81044394
TEST_0763,17,180,73,LW,Right,Medium,Medium,8.4058,5.7895,5.0,7.2727,3.2895,2.623,5.9091,6.044,3.9773,6.2651,5.977,8.1522,7.0115,6.0,5.7143,7.8652,8.7952,8.5366,9.3421,3.125,8.8,6.4474,1.5068,3.4568,3.9437,6.4368,3.1765,2.7273,5.8511,5.119,5.5814,5.0602,3.8202,4.7126,5.5952,1.1364,1.3636,1.3187,0.7865,0.9091,6.1644,7.1053,6.5789,6.5789,6.5789,7.1053,6.6667,6.6216,5.7534,6.6216,5.493,4.5714,5.493,5.4286,4.0278,5.4286,1.0,6.20536,4.698366666666666,4.360975,8.539875000000002,5.539533333333334,7.325902551716051,0.8083534
TEST_1548,17,189,78,ST,Right,Medium,Medium,5.5072,5.1316,1.7647,3.4848,1.1842,5.2459,3.0682,5.9341,5.4545,3.494,5.2874,4.8913,3.1034,3.1111,2.2619,5.1685,5.7831,6.7073,5.1316,3.75,5.6,5.3947,5.8904,4.5679,6.6197,5.0575,4.4706,2.7273,5.4255,4.5238,5.1163,4.9398,2.2472,1.1494,1.3095,0.9091,0.9091,1.0989,1.4607,1.3636,5.2055,4.8684,4.8684,4.8684,4.8684,4.8684,4.5333,4.4595,3.6986,4.4595,3.2394,2.7143,3.2394,3.1429,2.9167,3.1429,1.125,5.7183399999999995,4.566433333333333,5.946325,5.197849999999999,5.1145000000000005,6.08879756949074,0.80832547
TEST_1205,18,177,72,ST,Right,Medium,Medium,7.6812,4.7368,3.3824,4.8485,1.7105,0.9836,4.4318,5.6044,4.6591,5.0602,5.1724,5.8696,4.5977,3.7778,3.9286,5.618,8.3133,7.8049,8.6842,3.125,8.0,4.8684,1.6438,3.5802,1.2676,4.8276,2.8235,2.6136,5.8511,4.7619,5.3488,4.9398,2.1348,2.5287,2.8571,1.25,0.3409,1.0989,1.1236,0.4545,5.2055,5.6579,5.3947,5.3947,5.3947,5.6579,5.4667,5.4054,4.3836,5.4054,4.0845,3.1429,4.0845,4.0,2.5,4.0,0.75,5.3100000000000005,4.5793333333333335,3.574125,7.04295,5.153666666666666,5.562273320029239,0.8065267
TEST_1235,17,180,70,CF,Right,Medium,Medium,6.2319,4.8684,3.2353,4.5455,0.9211,2.459,3.8636,5.9341,4.6591,5.6627,4.4828,5.9783,4.4828,2.5556,3.5714,5.618,6.747,6.9512,7.1053,3.5938,5.6,4.7368,3.4247,4.8148,2.5352,4.9425,3.2941,1.9318,5.3191,4.4048,5.2326,4.4578,1.573,1.8391,1.4286,0.5682,1.25,0.7692,0.4494,0.4545,5.0685,5.5263,5.3947,5.3947,5.3947,5.5263,5.3333,5.2703,4.3836,5.2703,3.662,3.0,3.662,3.4286,2.3611,3.4286,0.625,5.45518,4.439233333333333,4.431475,6.0754,4.7244,5.354658144555556,0.7959044
TEST_0930,17,188,79,ST,Right,High,Medium,4.9275,4.8684,2.0588,3.4848,1.0526,5.7377,2.1591,5.6044,5.9091,4.5783,4.8276,5.2174,3.5632,2.8889,2.9762,5.0562,5.6627,5.8537,5.0,2.9688,5.3333,4.8684,6.8493,5.8025,6.7606,5.0575,4.7059,1.8182,5.5319,3.8095,5.814,4.3373,1.9101,1.3793,1.1905,0.9091,0.9091,0.6593,1.1236,0.9091,5.0685,4.7368,4.8684,4.8684,4.8684,4.7368,4.6667,4.4595,3.8356,4.4595,3.0986,2.8571,3.0986,3.0,2.9167,3.0,0.875,5.3100000000000005,4.1034,6.3165249999999995,5.151725,4.992966666666667,5.7922990219444435,0.79409945
TEST_0139,17,180,75,ST,Left,Medium,Medium,4.058,5.0,2.0588,3.1818,0.3947,3.6066,2.5,6.044,5.7955,4.4578,4.7126,4.3478,3.5632,3.1111,2.7381,5.2809,5.1807,5.0,5.0,3.2812,6.0,3.9474,6.1644,5.1852,4.2254,5.1724,2.9412,0.7955,5.4255,4.0476,6.6279,4.4578,1.6854,0.6897,0.5952,0.9091,1.4773,0.8791,0.6742,1.25,4.9315,4.6053,4.7368,4.7368,4.7368,4.6053,4.5333,4.1892,3.6986,4.1892,2.6761,2.2857,2.6761,2.5714,2.0833,2.5714,1.0,5.20536,4.251433333333334,5.14375,5.1571750000000005,5.2661,5.78034002862037,0.7904615
TEST_1327,18,180,70,ST,Right,High,Low,6.5217,5.1316,2.3529,4.3939,0.1316,3.2787,3.2955,5.7143,4.7727,4.2169,5.8621,5.6522,3.3333,3.4444,2.9762,5.7303,6.988,7.1951,7.1053,3.125,6.4,5.6579,5.3425,4.5679,3.8028,5.2874,3.7647,1.7045,5.3191,4.2857,5.5814,4.4578,1.0112,0.5747,0.5952,1.3636,1.25,0.3297,1.0112,0.6818,5.2055,5.2632,5.1316,5.1316,5.1316,5.2632,4.9333,4.8649,3.8356,4.8649,3.0986,2.2857,3.0986,2.8571,1.9444,2.8571,0.875,5.691739999999999,4.243266666666667,5.227075,6.22195,5.300433333333333,5.965507065634503,0.79042417
